Val_STN_Dice_2D,Val_RN_Dice_2D,Val_Loss,Test_STN_Dice_2D,Test_RN_Dice_2D,Test_Loss,STN_val_mean_dice,STN_val_std_dice,STN_val_mean_hd95,STN_val_std_hd95,STN_val_mean_precision,STN_val_std_precision,STN_val_mean_recall,STN_val_std_recall,STN_val_mean_iou,STN_val_std_iou,RN_val_mean_dice,RN_val_std_dice,RN_val_mean_hd95,RN_val_std_hd95,RN_val_mean_precision,RN_val_std_precision,RN_val_mean_recall,RN_val_std_recall,RN_val_mean_iou,RN_val_std_iou,STN_test_mean_dice,STN_test_std_dice,STN_test_mean_hd95,STN_test_std_hd95,STN_test_mean_precision,STN_test_std_precision,STN_test_mean_recall,STN_test_std_recall,STN_test_mean_iou,STN_test_std_iou,RN_test_mean_dice,RN_test_std_dice,RN_test_mean_hd95,RN_test_std_hd95,RN_test_mean_precision,RN_test_std_precision,RN_test_mean_recall,RN_test_std_recall,RN_test_mean_iou,RN_test_std_iou,Loss_Type,Features,Learning_Rate,Weight_Decay,Dropout,Only_Annotated,CE_Weight,FT_Weight
0.8114,0.7748,0.3491,0.8347,0.8173,0.3105,0.8014,0.0735,1.48,0.79,0.7441,0.1231,0.9026,0.1115,0.6748,0.1002,0.7476,0.0819,1.38,0.53,0.7200,0.2042,0.8589,0.1235,0.6034,0.0991,0.8346,0.0094,1.36,0.41,0.8088,0.0526,0.8678,0.0423,0.7163,0.0138,0.8165,0.0324,1.41,0.52,0.8275,0.0802,0.8122,0.0384,0.6911,0.0475,FocalTversky,"[32, 64, 128, 256]",0.0005,0.0001,0.2,True,0.1,0.9
0.8106,0.7641,0.0585,0.8192,0.8211,0.0404,0.8046,0.0766,1.32,0.72,0.7695,0.1154,0.8739,0.1252,0.6799,0.1076,0.7664,0.0196,1.18,0.19,0.7912,0.1505,0.8012,0.1581,0.6216,0.0258,0.8183,0.0103,1.34,0.38,0.8199,0.0366,0.8207,0.0482,0.6926,0.0147,0.8197,0.0224,1.31,0.40,0.9113,0.0490,0.7464,0.0251,0.6951,0.0322,UnifiedFocal,"[64, 128, 256, 512]",0.0005,0.01,0.2,True,0.3,0.7
0.8101,0.0175,0.5152,0.8116,0.0150,0.5149,0.8031,0.0843,1.36,0.77,0.7724,0.1299,0.8710,0.1246,0.6793,0.1180,0.0162,0.0067,55.08,2.63,0.0082,0.0034,1.0000,0.0000,0.0082,0.0034,0.8133,0.0241,1.53,0.47,0.8136,0.0508,0.8192,0.0606,0.6861,0.0340,0.0164,0.0045,55.08,3.33,0.0082,0.0023,1.0000,0.0000,0.0082,0.0023,UnifiedFocal,"[32, 64, 128, 256]",0.0005,0.01,0.2,True,0.1,0.9
0.8091,0.7695,0.0534,0.8056,0.8275,0.0400,0.7996,0.0847,1.47,0.91,0.7558,0.1325,0.8795,0.1027,0.6742,0.1153,0.7659,0.0177,1.09,0.05,0.7835,0.1413,0.8007,0.1506,0.6209,0.0233,0.8060,0.0370,1.32,0.43,0.7897,0.0632,0.8306,0.0715,0.6766,0.0504,0.8279,0.0271,1.21,0.48,0.8716,0.0805,0.7939,0.0274,0.7072,0.0402,UnifiedFocal,"[64, 128, 256, 512]",0.0005,0.0001,0.4,True,0.5,0.5
0.8090,0.7527,0.3556,0.8287,0.8437,0.2867,0.7965,0.0859,1.41,0.71,0.7280,0.1311,0.9108,0.0939,0.6700,0.1139,0.7263,0.1021,1.63,0.64,0.7177,0.2274,0.8365,0.1431,0.5795,0.1162,0.8290,0.0157,1.31,0.40,0.7906,0.0485,0.8770,0.0497,0.7083,0.0228,0.8425,0.0285,1.21,0.48,0.8516,0.0555,0.8368,0.0354,0.7289,0.0426,FocalTversky,"[32, 64, 128, 256]",0.0005,0.01,0.4,True,0.1,0.9
0.8083,0.7680,0.0507,0.8273,0.8108,0.0357,0.8044,0.0844,1.25,0.75,0.7872,0.1105,0.8540,0.1436,0.6812,0.1190,0.7817,0.0342,1.02,0.38,0.8220,0.1228,0.7948,0.1682,0.6430,0.0453,0.8286,0.0149,1.42,0.40,0.8418,0.0371,0.8216,0.0623,0.7076,0.0218,0.8090,0.0202,1.53,0.33,0.9044,0.0584,0.7363,0.0465,0.6797,0.0280,UnifiedFocal,"[64, 128, 256, 512]",0.0005,0.01,0.4,True,0.1,0.9
0.8081,0.0157,0.5136,0.8102,0.0125,0.5137,0.8012,0.0730,1.36,0.77,0.7689,0.1262,0.8690,0.1104,0.6745,0.1007,0.0145,0.0064,60.13,1.29,0.0073,0.0033,1.0000,0.0000,0.0073,0.0033,0.8124,0.0288,1.42,0.41,0.8212,0.0567,0.8105,0.0639,0.6851,0.0405,0.0139,0.0042,62.06,4.86,0.0070,0.0021,1.0000,0.0000,0.0070,0.0021,UnifiedFocal,"[32, 64, 128, 256]",0.0005,0.01,0.4,True,0.1,0.9
0.8070,0.7694,0.0521,0.8116,0.8304,0.0365,0.8053,0.0852,1.25,0.75,0.7928,0.1110,0.8501,0.1454,0.6825,0.1196,0.7678,0.0440,1.37,0.51,0.7823,0.1644,0.8203,0.1615,0.6251,0.0578,0.8138,0.0462,1.42,0.41,0.8265,0.0667,0.8082,0.0754,0.6885,0.0643,0.8276,0.0393,1.21,0.54,0.9049,0.0632,0.7665,0.0537,0.7079,0.0572,UnifiedFocal,"[64, 128, 256, 512]",0.0005,0.0001,0.4,True,0.1,0.9
0.8066,0.0167,0.5159,0.7973,0.0152,0.5171,0.8049,0.0839,1.15,0.66,0.7852,0.1077,0.8555,0.1419,0.6817,0.1182,0.0160,0.0056,68.26,0.57,0.0081,0.0028,0.9952,0.0083,0.0081,0.0028,0.7982,0.0423,1.52,0.52,0.8326,0.0525,0.7732,0.0811,0.6662,0.0573,0.0158,0.0034,68.49,4.52,0.0080,0.0017,1.0000,0.0000,0.0080,0.0017,UnifiedFocal,"[32, 64, 128, 256]",0.0005,0.0001,0.4,True,0.3,0.7
0.8057,0.7834,0.0522,0.8167,0.8396,0.0345,0.8014,0.0807,1.25,0.75,0.7829,0.1113,0.8477,0.1268,0.6762,0.1129,0.7652,0.0709,1.31,0.47,0.7475,0.1858,0.8507,0.1253,0.6248,0.0894,0.8153,0.0402,1.29,0.45,0.8347,0.0372,0.8021,0.0788,0.6900,0.0555,0.8382,0.0437,1.12,0.54,0.8638,0.0635,0.8154,0.0334,0.7238,0.0650,UnifiedFocal,"[64, 128, 256, 512]",0.0005,0.01,0.2,True,0.1,0.9
