STN_Test_Dice,RN_Test_Dice,Loss_Type,Features,Learning_Rate,Weight_Decay,Dropout,Only_Annotated,CE_Weight,FT_Weight
0.8347,0.8173,FocalTversky,"[32, 64, 128, 256]",0.0005,0.0001,0.2,True,0.1,0.9
0.8311,0.7982,CEDice,"[64, 128, 256, 512]",0.0005,0.01,0.2,True,0.3,0.7
0.8287,0.8437,FocalTversky,"[32, 64, 128, 256]",0.0005,0.01,0.4,True,0.1,0.9
0.8278,0.8386,FocalTversky,"[64, 128, 256, 512]",0.0005,0.0001,0.2,True,0.3,0.7
0.8273,0.8108,UnifiedFocal,"[64, 128, 256, 512]",0.0005,0.01,0.4,True,0.1,0.9
0.8266,0.8471,FocalTversky,"[32, 64, 128, 256]",0.0005,0.01,0.4,True,0.3,0.7
0.8222,0.8410,FocalTversky,"[64, 128, 256, 512]",0.0005,0.01,0.2,True,0.3,0.7
0.8218,0.8416,FocalTversky,"[64, 128, 256, 512]",0.0001,0.01,0.2,True,0.1,0.9
0.8218,0.8417,FocalTversky,"[64, 128, 256, 512]",0.0005,0.0001,0.4,True,0.1,0.9
0.8215,0.0134,UnifiedFocal,"[32, 64, 128, 256]",0.0001,0.01,0.4,True,0.3,0.7
0.8215,0.8551,FocalTversky,"[64, 128, 256, 512]",0.0005,0.01,0.4,True,0.1,0.9
0.8212,0.8402,CEDice,"[64, 128, 256, 512]",0.0001,0.0001,0.2,True,0.1,0.9
0.8212,0.8408,FocalTversky,"[32, 64, 128, 256]",0.0005,0.0001,0.4,True,0.1,0.9
0.8205,0.0138,UnifiedFocal,"[64, 128, 256, 512]",0.0001,0.0001,0.2,True,0.1,0.9
0.8205,0.0142,UnifiedFocal,"[32, 64, 128, 256]",0.0005,0.01,0.2,True,0.5,0.5
0.8204,0.0148,UnifiedFocal,"[32, 64, 128, 256]",0.0001,0.01,0.2,True,0.3,0.7
0.8199,0.7923,FocalTversky,"[64, 128, 256, 512]",0.0001,0.01,0.2,True,0.3,0.7
0.8196,0.8327,UnifiedFocal,"[32, 64, 128, 256]",0.0001,0.0001,0.2,True,0.1,0.9
0.8196,0.0119,UnifiedFocal,"[32, 64, 128, 256]",0.0001,0.01,0.4,True,0.1,0.9
0.8194,0.7962,UnifiedFocal,"[32, 64, 128, 256]",0.0005,0.0001,0.4,True,0.1,0.9
0.8192,0.8211,UnifiedFocal,"[64, 128, 256, 512]",0.0005,0.01,0.2,True,0.3,0.7
0.8190,0.8390,FocalTversky,"[32, 64, 128, 256]",0.0005,0.01,0.2,True,0.1,0.9
0.8187,0.7988,CEDice,"[32, 64, 128, 256]",0.0001,0.01,0.4,True,0.1,0.9
0.8184,0.0156,UnifiedFocal,"[64, 128, 256, 512]",0.0001,0.01,0.2,True,0.3,0.7
0.8184,0.8408,FocalTversky,"[64, 128, 256, 512]",0.0005,0.01,0.2,True,0.1,0.9
0.8168,0.0141,UnifiedFocal,"[64, 128, 256, 512]",0.0001,0.01,0.2,True,0.1,0.9
0.8167,0.8396,UnifiedFocal,"[64, 128, 256, 512]",0.0005,0.01,0.2,True,0.1,0.9
